City,County,Year,PovPop,Pov100,Pov200,PovPCT200,PovPCT100,Source,,
Alameda,Alameda County,2012,"73,092","6,871","16,873",0.2308,0.094,ACS_5YR_C17002,,
Albany,Alameda County,2012,"18,458","1,923","4,369",0.2367,0.104,ACS_5YR_C17002,,
Berkeley,Alameda County,2012,"102,178","18,509","32,455",0.3176,0.181,ACS_5YR_C17002,,
Dublin,Alameda County,2012,"41,449","1,704","4,892",0.118,0.041,ACS_5YR_C17002,,
Emeryville,Alameda County,2012,"9,968",979,"2,463",0.2471,0.098,ACS_5YR_C17002,,
Fremont,Alameda County,2012,"214,034","12,368","34,319",0.1603,0.058,ACS_5YR_C17002,,
Hayward,Alameda County,2012,"143,488","19,364","44,732",0.3117,0.135,ACS_5YR_C17002,,
Livermore,Alameda County,2012,"80,683","4,309","12,949",0.1605,0.053,ACS_5YR_C17002,,
Newark,Alameda County,2012,"42,595","3,076","9,597",0.2253,0.072,ACS_5YR_C17002,,
Oakland,Alameda County,2012,"387,923","78,928","159,123",0.4102,0.203,ACS_5YR_C17002,,
Piedmont,Alameda County,2012,"10,675",190,374,0.035,0.018,ACS_5YR_C17002,,
Pleasanton,Alameda County,2012,"70,108","3,258","8,192",0.1168,0.046,ACS_5YR_C17002,,
San Leandro,Alameda County,2012,"84,349","7,205","22,827",0.2706,0.085,ACS_5YR_C17002,,
Union City,Alameda County,2012,"69,596","5,369","15,257",0.2192,0.077,ACS_5YR_C17002,,
Antioch,Contra Costa County,2012,"102,007","14,810","33,611",0.3295,0.145,ACS_5YR_C17002,,
Brentwood,Contra Costa County,2012,"50,672","3,134","9,206",0.1817,0.062,ACS_5YR_C17002,,
Clayton,Contra Costa County,2012,"11,017",489,971,0.0881,0.044,ACS_5YR_C17002,,
Concord,Contra Costa County,2012,"121,740","13,775","34,258",0.2814,0.113,ACS_5YR_C17002,,
Danville,Contra Costa County,2012,"41,891","1,805","3,433",0.082,0.043,ACS_5YR_C17002,,
El Cerrito,Contra Costa County,2012,"23,490","1,754","4,655",0.1982,0.075,ACS_5YR_C17002,,
Hercules,Contra Costa County,2012,"23,945","1,481","3,389",0.1415,0.062,ACS_5YR_C17002,,
Lafayette,Contra Costa County,2012,"23,955",706,"1,814",0.0757,0.029,ACS_5YR_C17002,,
Martinez,Contra Costa County,2012,"34,802","2,257","6,383",0.1834,0.065,ACS_5YR_C17002,,
Moraga,Contra Costa County,2012,"14,215",781,"1,622",0.1141,0.055,ACS_5YR_C17002,,
Oakley,Contra Costa County,2012,"35,386","3,260","9,817",0.2774,0.092,ACS_5YR_C17002,,
Orinda,Contra Costa County,2012,"17,822",273,936,0.0525,0.015,ACS_5YR_C17002,,
Pinole,Contra Costa County,2012,"18,483","1,732","4,071",0.2203,0.094,ACS_5YR_C17002,,
Pittsburg,Contra Costa County,2012,"63,165","10,825","25,376",0.4017,0.171,ACS_5YR_C17002,,
Pleasant Hill,Contra Costa County,2012,"33,033","2,922","5,383",0.163,0.088,ACS_5YR_C17002,,
Richmond,Contra Costa County,2012,"103,020","18,454","37,702",0.366,0.179,ACS_5YR_C17002,,
San Pablo,Contra Costa County,2012,"28,900","5,585","14,466",0.5006,0.193,ACS_5YR_C17002,,
San Ramon,Contra Costa County,2012,"71,116","2,505","5,425",0.0763,0.035,ACS_5YR_C17002,,
Walnut Creek,Contra Costa County,2012,"63,855","2,853","9,283",0.1454,0.045,ACS_5YR_C17002,,
Belvedere,Marin County,2012,"1,994",71,209,0.1048,0.036,ACS_5YR_C17002,,
Corte Madera,Marin County,2012,"9,265",350,"1,101",0.1188,0.038,ACS_5YR_C17002,,
Fairfax,Marin County,2012,"7,431",626,"1,113",0.1498,0.084,ACS_5YR_C17002,,
Larkspur,Marin County,2012,"11,866",459,"1,420",0.1197,0.039,ACS_5YR_C17002,,
Mill Valley,Marin County,2012,"13,834",335,"1,612",0.1165,0.024,ACS_5YR_C17002,,
Novato,Marin County,2012,"51,694","3,822","10,284",0.1989,0.074,ACS_5YR_C17002,,
Ross,Marin County,2012,"2,101",162,247,0.1176,0.077,ACS_5YR_C17002,,
San Anselmo,Marin County,2012,"12,256",898,"1,887",0.154,0.073,ACS_5YR_C17002,,
San Rafael,Marin County,2012,"55,920","6,000","16,240",0.2904,0.107,ACS_5YR_C17002,,
Sausalito,Marin County,2012,"6,996",395,746,0.1066,0.056,ACS_5YR_C17002,,
Tiburon,Marin County,2012,"8,895",501,"1,012",0.1138,0.056,ACS_5YR_C17002,,
American Canyon,Napa County,2012,"19,032","1,413","3,648",0.1917,0.074,ACS_5YR_C17002,,
Calistoga,Napa County,2012,"5,116",611,"1,960",0.3831,0.119,ACS_5YR_C17002,,
Napa,Napa County,2012,"75,913","8,603","23,768",0.3131,0.113,ACS_5YR_C17002,,
St. Helena,Napa County,2012,"5,795",418,"1,241",0.2142,0.072,ACS_5YR_C17002,,
Yountville,Napa County,2012,"2,455",88,383,0.156,0.036,ACS_5YR_C17002,,
San Francisco,San Francisco County,2012,"795,816","104,784","228,865",0.2876,0.132,ACS_5YR_C17002,,
Atherton,San Mateo County,2012,"6,580",320,654,0.0994,0.049,ACS_5YR_C17002,,
Belmont,San Mateo County,2012,"25,459","1,342","3,227",0.1268,0.053,ACS_5YR_C17002,,
Brisbane,San Mateo County,2012,"4,243",149,763,0.1798,0.035,ACS_5YR_C17002,,
Burlingame,San Mateo County,2012,"28,343","2,415","5,120",0.1806,0.085,ACS_5YR_C17002,,
Colma,San Mateo County,2012,"1,671",129,227,0.1358,0.077,ACS_5YR_C17002,,
Daly City,San Mateo County,2012,"100,749","7,903","22,734",0.2256,0.078,ACS_5YR_C17002,,
East Palo Alto,San Mateo County,2012,"27,999","5,035","14,307",0.511,0.18,ACS_5YR_C17002,,
Foster City,San Mateo County,2012,"30,603","1,417","2,976",0.0972,0.046,ACS_5YR_C17002,,
Half Moon Bay,San Mateo County,2012,"11,304",861,"1,709",0.1512,0.076,ACS_5YR_C17002,,
Hillsborough,San Mateo County,2012,"10,857",248,467,0.043,0.023,ACS_5YR_C17002,,
Menlo Park,San Mateo County,2012,"31,597","2,068","5,588",0.1769,0.065,ACS_5YR_C17002,,
Millbrae,San Mateo County,2012,"21,244","1,210","2,795",0.1316,0.057,ACS_5YR_C17002,,
Pacifica,San Mateo County,2012,"37,246","1,724","4,394",0.118,0.046,ACS_5YR_C17002,,
Portola Valley,San Mateo County,2012,"4,329",97,192,0.0444,0.022,ACS_5YR_C17002,,
Redwood City,San Mateo County,2012,"75,652","6,886","21,574",0.2852,0.091,ACS_5YR_C17002,,
San Bruno,San Mateo County,2012,"40,973","2,797","6,747",0.1647,0.068,ACS_5YR_C17002,,
San Carlos,San Mateo County,2012,"28,322",962,"2,716",0.0959,0.034,ACS_5YR_C17002,,
San Mateo,San Mateo County,2012,"96,386","6,219","17,517",0.1817,0.065,ACS_5YR_C17002,,
South San Francisco,San Mateo County,2012,"63,353","4,407","14,044",0.2217,0.07,ACS_5YR_C17002,,
Woodside,San Mateo County,2012,"5,329",217,351,0.0659,0.041,ACS_5YR_C17002,,
Campbell,Santa Clara County,2012,"39,239","2,643","7,706",0.1964,0.067,ACS_5YR_C17002,,
Cupertino,Santa Clara County,2012,"58,118","2,413","4,900",0.0843,0.042,ACS_5YR_C17002,,
Gilroy,Santa Clara County,2012,"48,302","6,342","15,061",0.3118,0.131,ACS_5YR_C17002,,
Los Altos,Santa Clara County,2012,"28,892",594,"1,491",0.0516,0.021,ACS_5YR_C17002,,
Los Altos Hills,Santa Clara County,2012,"8,001",361,620,0.0775,0.045,ACS_5YR_C17002,,
Los Gatos,Santa Clara County,2012,"29,048","1,571","2,870",0.0988,0.054,ACS_5YR_C17002,,
Milpitas,Santa Clara County,2012,"63,679","3,958","11,035",0.1733,0.062,ACS_5YR_C17002,,
Monte Sereno,Santa Clara County,2012,"3,383",58,178,0.0526,0.017,ACS_5YR_C17002,,
Morgan Hill,Santa Clara County,2012,"37,758","4,488","9,261",0.2453,0.119,ACS_5YR_C17002,,
Mountain View,Santa Clara County,2012,"74,106","6,056","16,353",0.2207,0.082,ACS_5YR_C17002,,
Palo Alto,Santa Clara County,2012,"64,064","3,147","7,165",0.1118,0.049,ACS_5YR_C17002,,
San Jose,Santa Clara County,2012,"944,460","110,927","256,586",0.2717,0.117,ACS_5YR_C17002,,
Santa Clara,Santa Clara County,2012,"112,940","10,158","23,967",0.2122,0.09,ACS_5YR_C17002,,
Saratoga,Santa Clara County,2012,"29,905","1,023","1,928",0.0645,0.034,ACS_5YR_C17002,,
Sunnyvale,Santa Clara County,2012,"140,497","10,080","24,524",0.1746,0.072,ACS_5YR_C17002,,
Benicia,Solano County,2012,"26,877","1,471","3,529",0.1313,0.055,ACS_5YR_C17002,,
Dixon,Solano County,2012,"18,198","1,607","4,118",0.2263,0.088,ACS_5YR_C17002,,
Fairfield,Solano County,2012,"99,408","12,833","27,928",0.2809,0.129,ACS_5YR_C17002,,
Rio Vista,Solano County,2012,"7,266",690,"1,627",0.2239,0.095,ACS_5YR_C17002,,
Suisun City,Solano County,2012,"27,997","3,355","7,891",0.2819,0.12,ACS_5YR_C17002,,
Vacaville,Solano County,2012,"83,446","7,258","17,624",0.2112,0.087,ACS_5YR_C17002,,
Vallejo,Solano County,2012,"115,154","18,441","37,939",0.3295,0.16,ACS_5YR_C17002,,
Cloverdale,Sonoma County,2012,"8,448",502,"2,070",0.245,0.059,ACS_5YR_C17002,,
Cotati,Sonoma County,2012,"7,241",933,"1,759",0.2429,0.129,ACS_5YR_C17002,,
Healdsburg,Sonoma County,2012,"11,208","1,281","4,130",0.3685,0.114,ACS_5YR_C17002,,
Petaluma,Sonoma County,2012,"57,393","5,200","12,659",0.2206,0.091,ACS_5YR_C17002,,
Rohnert Park,Sonoma County,2012,"40,729","5,205","13,197",0.324,0.128,ACS_5YR_C17002,,
Santa Rosa,Sonoma County,2012,"164,630","21,703","54,699",0.3323,0.132,ACS_5YR_C17002,,
Sebastopol,Sonoma County,2012,"7,251",555,"1,922",0.2651,0.077,ACS_5YR_C17002,,
Sonoma,Sonoma County,2012,"10,361",626,"1,889",0.1823,0.06,ACS_5YR_C17002,,
Windsor,Sonoma County,2012,"26,490","1,163","5,206",0.1965,0.044,ACS_5YR_C17002,,