City,County,Year,PovPop,PovPCT100,,,
Alameda,Alameda County,2012,"73,092",0.094,,,
Albany,Alameda County,2012,"18,458",0.104,,,
Berkeley,Alameda County,2012,"102,178",0.181,,,
Dublin,Alameda County,2012,"41,449",0.041,,,
Emeryville,Alameda County,2012,"9,968",0.098,,,
Fremont,Alameda County,2012,"214,034",0.058,,,
Hayward,Alameda County,2012,"143,488",0.135,,,
Livermore,Alameda County,2012,"80,683",0.053,,,
Newark,Alameda County,2012,"42,595",0.072,,,
Oakland,Alameda County,2012,"387,923",0.203,,,
Piedmont,Alameda County,2012,"10,675",0.018,,,
Pleasanton,Alameda County,2012,"70,108",0.046,,,
San Leandro,Alameda County,2012,"84,349",0.085,,,
Union City,Alameda County,2012,"69,596",0.077,,,
Antioch,Contra Costa County,2012,"102,007",0.145,,,
Brentwood,Contra Costa County,2012,"50,672",0.062,,,
Clayton,Contra Costa County,2012,"11,017",0.044,,,
Concord,Contra Costa County,2012,"121,740",0.113,,,
Danville,Contra Costa County,2012,"41,891",0.043,,,
El Cerrito,Contra Costa County,2012,"23,490",0.075,,,
Hercules,Contra Costa County,2012,"23,945",0.062,,,
Lafayette,Contra Costa County,2012,"23,955",0.029,,,
Martinez,Contra Costa County,2012,"34,802",0.065,,,
Moraga,Contra Costa County,2012,"14,215",0.055,,,
Oakley,Contra Costa County,2012,"35,386",0.092,,,
Orinda,Contra Costa County,2012,"17,822",0.015,,,
Pinole,Contra Costa County,2012,"18,483",0.094,,,
Pittsburg,Contra Costa County,2012,"63,165",0.171,,,
Pleasant Hill,Contra Costa County,2012,"33,033",0.088,,,
Richmond,Contra Costa County,2012,"103,020",0.179,,,
San Pablo,Contra Costa County,2012,"28,900",0.193,,,
San Ramon,Contra Costa County,2012,"71,116",0.035,,,
Walnut Creek,Contra Costa County,2012,"63,855",0.045,,,
Belvedere,Marin County,2012,"1,994",0.036,,,
Corte Madera,Marin County,2012,"9,265",0.038,,,
Fairfax,Marin County,2012,"7,431",0.084,,,
Larkspur,Marin County,2012,"11,866",0.039,,,
Mill Valley,Marin County,2012,"13,834",0.024,,,
Novato,Marin County,2012,"51,694",0.074,,,
Ross,Marin County,2012,"2,101",0.077,,,
San Anselmo,Marin County,2012,"12,256",0.073,,,
San Rafael,Marin County,2012,"55,920",0.107,,,
Sausalito,Marin County,2012,"6,996",0.056,,,
Tiburon,Marin County,2012,"8,895",0.056,,,
American Canyon,Napa County,2012,"19,032",0.074,,,
Calistoga,Napa County,2012,"5,116",0.119,,,
Napa,Napa County,2012,"75,913",0.113,,,
St. Helena,Napa County,2012,"5,795",0.072,,,
Yountville,Napa County,2012,"2,455",0.036,,,
San Francisco,San Francisco County,2012,"795,816",0.132,,,
Atherton,San Mateo County,2012,"6,580",0.049,,,
Belmont,San Mateo County,2012,"25,459",0.053,,,
Brisbane,San Mateo County,2012,"4,243",0.035,,,
Burlingame,San Mateo County,2012,"28,343",0.085,,,
Colma,San Mateo County,2012,"1,671",0.077,,,
Daly City,San Mateo County,2012,"100,749",0.078,,,
East Palo Alto,San Mateo County,2012,"27,999",0.18,,,
Foster City,San Mateo County,2012,"30,603",0.046,,,
Half Moon Bay,San Mateo County,2012,"11,304",0.076,,,
Hillsborough,San Mateo County,2012,"10,857",0.023,,,
Menlo Park,San Mateo County,2012,"31,597",0.065,,,
Millbrae,San Mateo County,2012,"21,244",0.057,,,
Pacifica,San Mateo County,2012,"37,246",0.046,,,
Portola Valley,San Mateo County,2012,"4,329",0.022,,,
Redwood City,San Mateo County,2012,"75,652",0.091,,,
San Bruno,San Mateo County,2012,"40,973",0.068,,,
San Carlos,San Mateo County,2012,"28,322",0.034,,,
San Mateo,San Mateo County,2012,"96,386",0.065,,,
South San Francisco,San Mateo County,2012,"63,353",0.07,,,
Woodside,San Mateo County,2012,"5,329",0.041,,,
Campbell,Santa Clara County,2012,"39,239",0.067,,,
Cupertino,Santa Clara County,2012,"58,118",0.042,,,
Gilroy,Santa Clara County,2012,"48,302",0.131,,,
Los Altos,Santa Clara County,2012,"28,892",0.021,,,
Los Altos Hills,Santa Clara County,2012,"8,001",0.045,,,
Los Gatos,Santa Clara County,2012,"29,048",0.054,,,
Milpitas,Santa Clara County,2012,"63,679",0.062,,,
Monte Sereno,Santa Clara County,2012,"3,383",0.017,,,
Morgan Hill,Santa Clara County,2012,"37,758",0.119,,,
Mountain View,Santa Clara County,2012,"74,106",0.082,,,
Palo Alto,Santa Clara County,2012,"64,064",0.049,,,
San Jose,Santa Clara County,2012,"944,460",0.117,,,
Santa Clara,Santa Clara County,2012,"112,940",0.09,,,
Saratoga,Santa Clara County,2012,"29,905",0.034,,,
Sunnyvale,Santa Clara County,2012,"140,497",0.072,,,
Benicia,Solano County,2012,"26,877",0.055,,,
Dixon,Solano County,2012,"18,198",0.088,,,
Fairfield,Solano County,2012,"99,408",0.129,,,
Rio Vista,Solano County,2012,"7,266",0.095,,,
Suisun City,Solano County,2012,"27,997",0.12,,,
Vacaville,Solano County,2012,"83,446",0.087,,,
Vallejo,Solano County,2012,"115,154",0.16,,,
Cloverdale,Sonoma County,2012,"8,448",0.059,,,
Cotati,Sonoma County,2012,"7,241",0.129,,,
Healdsburg,Sonoma County,2012,"11,208",0.114,,,
Petaluma,Sonoma County,2012,"57,393",0.091,,,
Rohnert Park,Sonoma County,2012,"40,729",0.128,,,
Santa Rosa,Sonoma County,2012,"164,630",0.132,,,
Sebastopol,Sonoma County,2012,"7,251",0.077,,,
Sonoma,Sonoma County,2012,"10,361",0.06,,,
Windsor,Sonoma County,2012,"26,490",0.044,,,